Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Gavin Bartholomew,MIN,TE77,0,0,0,5.5,59.5,0.6,0,9.4
Cody White,SEA,WR133,0,0,0,5.4,66.6,0.4,0,9.1
Skyy Moore,GB,WR134,0,0,0,5.4,66.1,0.4,0,8.9
Eric Saubert,SEA,TE78,0,0,0,6.7,59.8,0.5,0,8.7
John Metchie III,CAR,WR135,0,0,0,6.2,68.2,0.3,0,8.6
Tip Reiman,ARI,TE79,0,0,0,6.6,60.3,0.4,0,8.5
Charlie Kolar,LAC,TE80,0,0.5,0,4.9,60,0.4,0,8.4
Ian Thomas,LV,TE81,0,0,0,6.6,58.5,0.4,0,8.3
Mitchell Evans,CAR,TE82,0,0,0,6.3,59.7,0.4,0,8.2
Thomas Fidone II,NYG,TE83,0,0,0,5.5,52,0.5,0,8.2
Ben Sims,MIA,TE84,0,0,0,5,51,0.5,0,8.1
Cam Grandy,CIN,TE85,0,0,0,6.2,54.1,0.4,0,8.1
Luke Farrell,SF,TE86,0,0,0,6.1,58.5,0.4,0,8.1
Jackson Hawes,BUF,TE87,0,0,0,5.3,57.2,0.4,0,8
Jaheim Bell,PHI,TE88,0,0,0,5,50,0.5,0,8
Efton Chism III,NE,WR136,0,0,0,4.9,56.9,0.4,0,8
Jelani Woods,NYJ,TE89,0,0,0,3.5,46.5,0.5,0,7.7
Jared Wiley,KC,TE90,0,0,0,5.4,53.1,0.4,0,7.6
Mason Tipton,NO,WR137,0,0,0,5.2,54.8,0.4,0,7.6
Nathan Carter,ATL,RB103,9.3,39.1,0.3,2.1,14.2,0.1,0.1,7.6
Derius Davis,LAC,WR138,10.5,35.5,0.2,2.8,31.2,0.1,0.6,7.5
Patrick Ricard,NYG,RB104,4.1,11.5,0.1,3.4,27.3,0.5,0,7.4
Trent Sherfield Sr.,BUF,WR139,0,0,0,4.4,52.8,0.4,0,7.3
Terrell Jennings,NE,RB105,4.8,20.1,0.1,3.8,29.1,0.2,0,6.7
Chris Manhertz,NYG,TE91,0,0,0,4.9,44.3,0.4,0,6.7
Durham Smythe,BAL,TE92,0,0,0,5.4,45.6,0.4,0,6.6
Tez Johnson,TB,WR140,0,0,0,4,49.4,0.2,0,6.3
Ben Skowronek,PIT,WR141,0,0,0,4,43.9,0.3,0,6.1
Eric Gray,NYG,RB106,11.8,42.6,0.2,1.9,14.3,0.1,0.5,6
Bam Knight,ARI,RB107,4.6,19.5,0.1,3.1,22.5,0.1,0,5.8
Will Mallory,IND,TE93,0,0,0,3.9,38.7,0.3,0,5.8
Xavier Weaver,ARI,WR142,0,0,0,3.4,39.9,0.3,0,5.8
Justin Watson,HOU,WR143,0,0,0,3.3,44.8,0.2,0,5.7
Jordan Watkins,SF,WR144,0,2.5,0,3,42.7,0.2,0,5.6
Charlie Jones,CIN,WR145,0,1.7,0,3.3,39.1,0.2,0,5.4
Kylen Granson,TEN,TE94,0,0,0,4,45.1,0.1,0,5.2
David Martin-Robinson,TEN,TE95,0,0,0,3.7,37.2,0.3,0,5.2
Bryce Oliver,TEN,WR146,0,0,0,3.4,38.2,0.2,0,5.2
Rasheen Ali,BAL,RB108,5.2,33.4,0.1,1.4,10.2,0.1,0,5.1
Davis Allen,LAR,TE96,0,0,0,4,37.9,0.2,0,5
Hunter Luepke,DAL,RB109,4.2,14.3,0.1,3.9,26.6,0.1,0,4.9
Gage Larvadain,CLE,WR147,0,0,0,3.6,39,0.2,0,4.8
Dylan Laube,LV,RB110,4,29.4,0.1,2,14.5,0,0,4.7
Ko Kieft,TB,TE97,0,0,0,1.5,16,0.5,0,4.6
Lil'Jordan Humphrey,DEN,WR148,0,0,0,4,44,0,0,4.4
Mo Alie-Cox,IND,TE98,0,0,0,2.8,30.9,0.2,0,4.2
Deuce Vaughn,DEN,RB111,0,31,0,1,8,0,0,3.9
Brycen Tremayne,CAR,WR149,0,0,0,2.6,29,0.1,0,3.7
Carlos Washington Jr.,ATL,RB112,0,30,0,1,7,0,0,3.7
Tanner Hudson,CIN,TE99,0,0,0,2.9,26.5,0.2,0,3.6
Nick Nash,WAS,WR150,0,0,0,3,35,0,0,3.5
Mitch Tinsley,CIN,WR151,0,0,0,2.5,28.8,0.1,0,3.4
Velus Jones Jr.,SEA,WR152,2.4,10.5,0.1,1.8,13.3,0.1,0,3.4
Michael Carter,TEN,RB113,0,21,0,1.5,11,0,0,3.2
Malachi Corley,CLE,WR153,0,2,0,3,29,0,0,3.1
Erick All Jr.,CIN,TE100,0,0,0,2.3,20.5,0.2,0,3.1
Konata Mumpfield,LAR,WR154,0,0,0,1.8,21.2,0.2,0,3
Anthony Gould,IND,WR155,0,2.5,0,1.8,22.8,0.1,0,2.8
Tyrell Shavers,BUF,WR156,0,0,0,1.5,20.1,0.1,0,2.8
Dante Pettis,NO,WR157,0,6,0,2,22,0,0,2.8
Kendrick Bourne,ARI,WR158,0,5,0,2,22,0,0,2.7
Tyler Scott,LAR,WR159,0,5,0,2,22,0,0,2.7
Ashton Dulin,IND,WR160,0,1.7,0,1.7,19.4,0.1,0,2.6
Jack Westover,NE,TE101,0,0,0,1.8,18.3,0.1,0,2.6
Audric Estime,NO,RB114,0,20,0,1,6,0,0,2.6
Josh Williams,TB,RB115,4.5,18.8,0.1,0,0,0,0,2.6
Feleipe Franks,CAR,QB1,0,0,0,1.8,17.7,0.1,0,2.5
Beaux Collins,NYG,WR161,0,0,0,1.7,19.1,0.1,0,2.5
Damien Martinez,GB,RB116,0,17,0,1,7,0,0,2.4
James Mitchell,CAR,TE102,0,0,0,1.9,17.8,0.1,0,2.3
Pierre Strong Jr.,GB,RB117,0,12.5,0,1,7.5,0,0,2
Carson Steele,PHI,RB118,0,12,0,1,7,0,0,1.9
Scott Matlock,LAC,DT1,0,0,0,2.2,14.7,0.1,0,1.9
Josh Whyle,GB,TE103,0,0,0,1.5,15.5,0,0,1.6
Jack Stoll,CLE,TE104,0,0,0,1.5,15,0,0,1.5
Tyler Badie,DEN,RB119,0,10.5,0,0.5,3.5,0,0,1.4
Isaiah Williams,NYJ,WR162,0,0,0,1,14,0,0,1.4
Ryan Miller,NYG,WR163,0,0,0,0.8,9.7,0.1,0,1.4
Cam Akers,SEA,RB120,0,10.5,0,0.5,3,0,0,1.4
Xavier Smith,LAR,WR164,2.2,9.6,0.1,1,11,0,0.5,1.3
Tank Dell,HOU,WR165,0,0,0,1,12,0,0,1.2
LaJohntay Wester,BAL,WR166,0,0,0,1,12,0,0,1.2
Keilan Robinson,NYJ,RB121,0,4,0,1,7,0,0,1.1
Ronnie Rivers,LAR,RB122,0,4,0,1,7,0,0,1.1
Nick Vannett,LAR,TE105,0,0,0,1,10,0,0,1
Quintin Morris,JAC,TE106,0,0,0,1,10,0,0,1
Greg Dulcich,MIA,TE107,0,0,0,1,9.5,0,0,1
DeeJay Dallas,JAC,RB123,0,8,0,1.5,11,0,0.5,0.9
Devin Duvernay,ARI,WR167,0,6,0,2,23,0,1,0.9
Jacob Cowing,SF,WR168,0,8.5,0,0,0,0,0,0.9
Sione Vaki,DET,RB124,0,4.5,0,0.5,3.5,0,0,0.8
Jason Brownlee,KC,WR169,0,0,0,0.5,7,0,0,0.7
Nikko Remigio,KC,WR170,0,0,0,0.5,6.5,0,0,0.7
Chase Edmonds,WAS,RB125,0,0,0,0,0,0,0,0
Andrew Beck,NYJ,TE108,0,0,0,0,0,0,0,0
Reggie Gilliam,NE,RB126,0,0,0,0,0,0,0,0
Kene Nwangwu,NYJ,RB127,0,0,0,0,0,0,0,0
Gary Brightwell,CIN,RB128,0,0,0,0,0,0,0,0
Brady Russell,SEA,TE109,0,0,0,0,0,0,0,0
Jonathon Brooks,CAR,RB129,0,0,0,0,0,0,0,0
British Brooks,HOU,RB130,0,0,0,0,0,0,0,0
Albert Okwuegbunam Jr.,LV,TE110,0,0,0,0,0,0,0,0
Stephen Carlson,CHI,TE111,0,0,0,0,0,0,0,0
Lawrence Cager,WAS,WR171,0,0,0,0,0,0,0,0
Sean McKeon,IND,TE112,0,0,0,0,0,0,0,0
Luke Lachey,HOU,TE113,0,0,0,0,0,0,0,0
Cole Turner,MIA,TE114,0,0,0,0,0,0,0,0
Justin Shorter,LV,WR172,0,0,0,0,0,0,0,0
Nikola Kalinic,CHI,TE115,0,0,0,0,0,0,0,0
Cameron Latu,PHI,TE116,0,0,0,0,0,0,0,0
Jake Tonges,SF,TE117,0,0,0,0,0,0,0,0
Zack Kuntz,MIA,TE118,0,0,0,0,0,0,0,0
Brayden Willis,SF,TE119,0,0,0,0,0,0,0,0
E.J. Jenkins,PHI,TE120,0,0,0,0,0,0,0,0
Princeton Fant,DAL,TE121,0,0,0,0,0,0,0,0
Tanner McLachlan,LAC,TE122,0,0,0,0,0,0,0,0
Brenden Bates,CLE,TE123,0,0,0,0,0,0,0,0
Colson Yankoff,WAS,TE124,0,0,0,0,0,0,0,0
Caleb Lohner,DEN,TE125,0,0,0,0,0,0,0,0
David Sills V,TB,WR173,0,0,0,0,0,0,0,0
Treylon Burks,WAS,WR174,0,0,0,0,0,0,0,0
Jonathan Mingo,DAL,WR175,0,0,0,0,0,0,0,0
Bub Means,NO,WR176,0,0,0,0,0,0,0,0
Tahj Washington,MIA,WR177,0,0,0,0,0,0,0,0
Kameron Johnson,TB,WR178,0,0,0,0,0,0,0,0
Ihmir Smith-Marsette,ARI,WR179,0,5,0,0,0,0,1,-1.5
