Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Chris Olave,NO,WR35,0.3,2.6,0,75.1,941.1,4.3,0.9,156.1
Ricky Pearsall,SF,WR36,7,54,0.3,63.4,851.5,5.5,0.6,155.9
Cooper Kupp,SEA,WR37,1.3,9.2,0,74.9,846.5,5.6,0.6,155.5
Sam LaPorta,DET,TE4,0,0,0,69.9,785.3,7,0.4,154.4
Jaylen Warren,PIT,RB29,148.9,666,3.6,49.8,361.3,1.2,1.1,154
Michael Pittman Jr.,PIT,WR38,0.3,2,0,78.1,884.3,4.2,0.9,151.2
Emeka Egbuka,TB,WR39,1.6,11.5,0,65.3,827.9,5.7,1.1,148.6
Travis Kelce,KC,TE5,0,0.5,0,81.3,776.3,5.3,0.9,148.3
Keon Coleman,BUF,WR40,0.3,3.8,0,52.3,822.3,6.1,0.5,144.5
Khalil Shakir,BUF,WR41,0.5,3,0,71,803.1,4.9,0.6,144.2
Mark Andrews,BAL,TE6,0,2,0,58.9,700.5,7.7,0.8,144.2
Darnell Mooney,NYG,WR42,0,1.5,0,61.1,864.2,4.6,0.5,143.6
Rashid Shaheed,SEA,WR43,8,46.7,0.1,55.5,840.5,4.7,1.2,143.2
Chris Godwin Jr.,TB,WR44,1.6,8.1,0,67.6,784.6,5.1,0.6,142.8
Jordan Addison,MIN,WR45,0.9,6.6,0.2,58,760.6,6.1,0.4,142.5
Jacory Croskey-Merritt,WAS,RB30,163.9,693.6,5.8,22.7,179.4,1.3,0.9,139.4
T.J. Hockenson,MIN,TE7,0,0,0,72.6,762.5,4.6,0.5,139
Jayden Reed,GB,WR46,11.1,79.8,0.7,52.6,703.2,5.2,0.9,138
Josh Downs,IND,WR47,0.3,5.8,0,69,767.3,4.5,0.5,137.9
Zach Charbonnet,SEA,RB31,135.9,586.2,4.9,36,267.2,1,0.8,137.2
Rashee Rice,KC,WR48,0.8,4.1,0,61.9,733.1,5.4,0.6,135.9
Javonte Williams,DAL,RB32,167.4,641.6,4.4,34.3,219.9,0.9,0.6,133.8
Marvin Mims Jr.,DEN,WR49,11.9,49.7,0.1,52.8,697.8,5.4,0.6,133
J.K. Dobbins,DEN,RB33,147.2,655.3,4.8,29.6,189.7,1.2,1.2,132.8
Travis Etienne Jr.,NO,RB34,140.2,573.1,3.8,36.9,272.9,1.1,0.8,130.8
Rashod Bateman,BAL,WR50,0,0.6,0,47.7,714.7,5.8,0.1,130
Rhamondre Stevenson,NE,RB35,153,620.8,5,27.8,176.8,1.1,1.5,127.1
Tyler Warren,IND,TE8,0,10.5,0,63.2,679.1,4.7,1.1,126.6
Xavier Legette,CAR,WR51,6.2,30.6,0.1,60.1,678.1,4.3,0.5,126
Cedric Tillman,CLE,WR52,0.7,0.8,0,58,734,4.1,0.9,125.4
Jordan Mason,MIN,RB36,164.2,755.5,4.7,16.2,118.4,0.5,0.7,125.2
Jerome Ford,WAS,RB37,142.7,589,3.1,34.3,238.4,1.1,0.8,123.5
Hollywood Brown,PHI,WR53,0.3,2,0,55.4,682.7,4.4,0.2,122
Evan Engram,DEN,TE9,0,0,0,70.4,628.1,4.2,0.9,121.4
