Player,Team,POS,FPTS_STD,FPTS_PPR,FPTS_HPPR,ADP_STD,ADP_PPR,ADP_HPPR,RUSH_ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FUM_LOST,QB_ATT,QB_CMP,QB_YDS,QB_TDS,QB_INTS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,ESPN_ID,NFLREADPY_ID,HEADSHOT
Bhayshul Tuten,JAX,RB48,81.3,99.8,90.5,134,148.7,148.7,106.6,448.9,3.1,18.5,145.1,0.9,0.9,,,,,,,,,,,,,,,,,4882093,00-0040719,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uf6bidyfjeemrlgsibiz"
Bijan Robinson,ATL,RB2,266.1,325,295.5,2.5,2.2,2,304.8,1421.8,11.4,58.9,447.2,2.2,1.4,,,,,,,,,,,,,,,,,4430807,00-0038542,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rjaf9auhx3lrktzgwpfb"
Blake Corum,LAR,RB57,59.1,71.7,65.4,191.5,213.3,207,93.4,347.4,2.3,12.6,93.1,0.3,0.4,,,,,,,,,,,,,,,,,4429096,00-0039738,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gytdgnrjj3jk8rlfxz85"
Blake Whiteheart,CLE,TE60,16,27.7,21.9,,724,,0,0,0,11.7,116.3,0.7,0,,,,,,,,,,,,,,,,,4362018,00-0038710,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/senw8edxu2ovkg1dbdxs"
Bo Melton,GB,WR128,11.3,17.8,14.6,,675,,0,0,0,6.6,78.1,0.6,0,,,,,,,,,,,,,,,,,4259305,00-0037091,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yt6xe5fxszt0byq1uszm"
Brady Russell,SEA,TE109,0,0,0,,578,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB49,78.7,95.5,87.1,140.5,137.2,112.7,116.6,440.4,3,16.8,126.5,0.8,0.4,,,,,,,,,,,,,,,,,4685247,00-0039794,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pdaa8u0x2qepyklabdr3"
Brandon Aiyuk,SF,WR56,90,134.9,112.5,118.5,147.2,150.7,0,0.8,0,45,685.8,3.7,0.5,,,,,,,,,,,,,,,,,4360438,00-0036261,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/avzzxycxyculxxqce5k7"
Brashard Smith,KC,RB90,21.8,30.2,26,209.5,273.8,236.5,14.4,91.4,0.6,8.5,63.1,0.5,0,,,,,,,,,,,,,,,,,4596602,00-0040078,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u3t4csj7hhcgymvb8ldf"
Brayden Willis,SF,TE119,0,0,0,,705,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4360290,00-0038643,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pz1nzzfellquco7nk65e"
