Player,Team,POS,FPTS_STD,FPTS_PPR,FPTS_HPPR,ADP_STD,ADP_PPR,ADP_HPPR,RUSH_ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FUM_LOST,QB_ATT,QB_CMP,QB_YDS,QB_TDS,QB_INTS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,ESPN_ID,NFLREADPY_ID,HEADSHOT
Daniel Bellinger,TEN,TE62,15.7,28.6,22.1,,431,,0,0,0,12.9,122.7,0.6,0,,,,,,,,,,,,,,,,,4361516,00-0038115,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hu3gywcwp2rlsefvawh1"
Dante Pettis,NO,WR157,2.8,4.8,3.8,,584,,0,6,0,2,22,0,0,,,,,,,,,,,,,,,,,3127306,00-0034860,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xz70t2ahl2ak2q9mqtia"
Dareke Young,LV,WR114,21.6,37,29.3,,676,,0,0,0,15.4,171.4,0.9,0.5,,,,,,,,,,,,,,,,,4401805,00-0037093,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umjr6zhpksws2vpfo0qe"
Darius Slayton,NYG,WR69,69.2,104.7,86.9,260,278,276.5,1.4,6.4,0,35.5,534.3,2.5,0.2,,,,,,,,,,,,,,,,,3916945,00-0035535,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyjkvaekv40jn72d0b3q"
Darnell Mooney,NYG,WR42,113.1,174.2,143.6,119.5,139.5,153.7,0,1.5,0,61.1,864.2,4.6,0.5,,,,,,,,,,,,,,,,,4040655,00-0036309,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eaejonwaflt9drrs9ika"
Darnell Washington,PIT,TE58,16.5,28.8,22.7,,356.7,,0,0,0,12.2,122.9,0.7,0,,,,,,,,,,,,,,,,,4430802,00-0038558,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nza9bxmg2tdtg7wldjct"
Davante Adams,LAR,WR15,158.6,243.8,201.2,42.5,40.3,44,0.3,0,0,85.1,1098.3,8.3,0.5,,,,,,,,,,,,,,,,,16800,00-0031381,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qtonvcqpixixqhc6lhnc"
David Martin-Robinson,TEN,TE95,5.2,8.9,7.1,,860,,0,0,0,3.7,37.2,0.3,0,,,,,,,,,,,,,,,,,4360978,00-0039648,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yaqmqzscsglgylchv7ez"
David Montgomery,HOU,RB22,167.1,198.8,183,58.5,60.5,55,199.2,837.1,9,31.7,260.2,0.9,1,,,,,,,,,,,,,,,,,4035538,00-0035685,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xeb6fq4zimgkksq7uari"
David Moore,CAR,WR102,30.4,49.1,39.7,,436,,0,0,0,18.7,229.8,1.3,0.1,,,,,,,,,,,,,,,,,4212909,00-0033589,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k2szy47lyxy9u5om7vd1"
David Sills V,TB,WR173,0,0,0,,819,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3871102,00-0035359,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b0vacwlg3vcau2vzg3ry"
Davis Allen,LAR,TE96,5,9,7,,504,,0,0,0,4,37.9,0.2,0,,,,,,,,,,,,,,,,,4426553,00-0039074,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/knzujvs0ge3lozkyilsf"
Dawson Knox,BUF,TE38,35.2,57.1,46.2,,299,,0,0,0,21.9,237.8,1.9,0,,,,,,,,,,,,,,,,,3930086,00-0035689,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mswln16dmfhi7m7pzh7q"
De'Von Achane,MIA,RB10,218.3,286.8,252.5,17,15,17,217.9,1014.6,7.6,68.5,505.7,3.9,1.3,,,,,,,,,,,,,,,,,4429160,00-0039040,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu"
DeAndre Hopkins,BAL,WR70,68.2,102.3,85.3,170,205.8,175,0,0.5,0,34.1,434.5,4.2,0.1,,,,,,,,,,,,,,,,,15795,00-0030564,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/snvo6holyfdjmrlqxqxu"
DeMario Douglas,NE,WR58,87,147.8,117.4,193,205.2,190.5,2.1,15.9,0,60.8,646.4,3.5,0.2,,,,,,,,,,,,,,,,,4427095,00-0038621,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/almsm6nmovpasu8ts9u3"
DeVonta Smith,PHI,WR28,138.9,220.1,179.5,56.5,57.7,55.3,0.3,1.2,0,81.2,977.2,7,0.5,,,,,,,,,,,,,,,,,4241478,00-0036912,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vj2fz8veorg1k5qthnjm"
DeeJay Dallas,JAX,RB123,0.9,2.4,1.7,,631,,0,8,0,1.5,11,0,0.5,,,,,,,,,,,,,,,,,4240631,00-0036425,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/weotbgqp9f3y1hptcxzm"
Demarcus Robinson,SF,WR103,30.3,43,36.6,,408.3,,0,0.8,0,12.7,194.1,1.8,0,,,,,,,,,,,,,,,,,3043116,00-0032775,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aynbxqjpwz1vhpxbxvv8"
Derius Davis,LAC,WR138,7.5,10.4,9,,449,,10.5,35.5,0.2,2.8,31.2,0.1,0.6,,,,,,,,,,,,,,,,,4362477,00-0038573,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/if9lcwax4p0gwlqswr1y"
Derrick Henry,BAL,RB4,255.8,272.1,264,11,10.2,9,306.2,1554.4,13.7,16.3,153,0.9,1.4,,,,,,,,,,,,,,,,,3043078,00-0032764,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxtikemnvpkw9r0ex2wv"
Deuce Vaughn,DEN,RB111,3.9,4.9,4.4,,467,,0,31,0,1,8,0,0,,,,,,,,,,,,,,,,,4431453,00-0038622,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z8lnunc6vvq9qlnidaw3"
Devaughn Vele,NO,WR97,39.1,66.6,52.9,,,,0,1.7,0,27.5,292,1.7,0.2,,,,,,,,,,,,,,,,,4569559,00-0039424,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sxlrltvxbb2utwgjgdbt"
Devin Culp,TB,TE70,11.7,18.9,15.3,,551,,0,0,0,7.2,77.2,0.7,0,,,,,,,,,,,,,,,,,4361112,00-0039754,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p5mk3qxwrbwdr3y3kt6u"
Devin Duvernay,ARI,WR167,0.9,2.9,1.9,,610,,0,6,0,2,23,0,1,,,,,,,,,,,,,,,,,4039050,00-0036331,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rhqvgqqfokrv6omkw0lg"
Devin Neal,NO,RB70,43.3,51.6,47.5,,,,53.6,247.8,1.7,8.3,61.6,0.4,0.1,,,,,,,,,,,,,,,,,4682652,00-0040202,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e0pzghslevb27ssozx4s"
Devin Singletary,NYG,RB73,39.3,48.7,44,277,265.3,260,52,236.7,1.5,9.3,63.5,0.1,0.4,,,,,,,,,,,,,,,,,4040761,00-0035250,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wqw8ee4nsxsisqb3bagw"
Devontez Walker,BAL,WR127,11.3,16.5,13.9,,439,,0,1.7,0,5.2,71,0.7,0,,,,,,,,,,,,,,,,,4696882,00-0039792,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d8qrpenynncwink7dqs2"
Dont'e Thornton Jr.,LV,WR93,44.6,69.4,57,236.5,222.8,182.5,0,2,0,24.9,324.6,2,0.1,,,,,,,,,,,,,,,,,4432775,00-0040581,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hlxztd3lpjaxtzojuxwh"
Dontayvion Wicks,PHI,WR90,50.2,75.8,63,250.5,316,301.5,0,1.3,0,25.6,321.4,3,0,,,,,,,,,,,,,,,,,4428850,00-0038393,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/er7pbyq82nsbw1w3wyor"
Drake London,ATL,WR10,171.3,267,219.2,18.5,19.2,17.3,0.3,2,0,95.7,1231.1,8.2,0.6,,,,,,,,,,,,,,,,,4426502,00-0037238,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/np91pvk7mczra1iyjkmo"
Drew Ogletree,IND,TE65,14.6,22.2,18.4,,509,,0,0,0,7.5,96.9,0.8,0,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE68,12.8,23.1,18,,419,,0,0,0,10.3,82.6,0.8,0,,,,,,,,,,,,,,,,,3127310,00-0035631,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dvq8fanrbrpfgf2j3kpm"
Durham Smythe,BAL,TE92,6.6,12.1,9.4,,529.5,,0,0,0,5.4,45.6,0.4,0,,,,,,,,,,,,,,,,,3052897,00-0034798,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qmpveaqrfntryixpjqq2"
Dyami Brown,WAS,WR77,60.4,96.1,78.2,272,292.8,278,0.7,6.8,0,35.7,455,2.5,0.5,,,,,,,,,,,,,,,,,4361577,00-0036626,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wwl9s886olkkvu67qktp"
Dylan Laube,LV,RB110,4.7,6.7,5.7,,454,,4,29.4,0.1,2,14.5,0,0,,,,,,,,,,,,,,,,,4366963,00-0039407,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lpizdza73bgksstymv5t"
Dylan Sampson,CLE,RB43,92,114.8,103.4,151.5,171.7,157.3,125,518.5,3,22.8,178.6,0.9,0.8,,,,,,,,,,,,,,,,,5081397,00-0040162,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/den1hzzomdxfcsgk88o5"
E.J. Jenkins,PHI,TE120,0,0,0,,421,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4248557,00-0038498,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jmhuk0gcnyotcjhdxo6v"
Efton Chism III,NE,WR136,8,12.8,10.4,261,335.7,261,0,0,0,4.9,56.9,0.4,0,,,,,,,,,,,,,,,,,4695193,00-0040563,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zbnf3ujmwprzgjnwdtlo"
Elic Ayomanor,TEN,WR83,54.7,88,71.3,245,243.8,233.5,0,5.7,0,33.3,404.6,2.3,0.1,,,,,,,,,,,,,,,,,4883647,00-0040170,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aekfvt5nyl69emvxr2yj"
Elijah Arroyo,SEA,TE28,58.6,98.6,78.6,237.5,231.5,206,0,0,0,40,424.1,2.8,0.4,,,,,,,,,,,,,,,,,4678006,00-0040739,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwlyrxi2yxowfj4abtoa"
Elijah Higgins,ARI,TE57,17.4,28.8,23.1,,381.3,,0,0,0,11.4,110.4,1.1,0,,,,,,,,,,,,,,,,,4426844,00-0039041,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yjvdxmqromyt64w89bhq"
Elijah Mitchell,NE,RB79,35.9,43.1,39.5,276,265.3,297.5,59.6,200.8,1.6,7.2,40.7,0.4,0.1,,,,,,,,,,,,,,,,,4241555,00-0036567,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xf383ph8bz6dpp0u9lcd"
Elijah Moore,PHI,WR110,23.4,37.8,30.6,,307.3,,0,1.3,0,14.4,158.9,1.2,0,,,,,,,,,,,,,,,,,4372414,00-0036980,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hglegw8qqnvb8fghc8cq"
Emanuel Wilson,SEA,RB77,36.8,44.6,40.7,268,318.3,268,43,207.1,1.4,7.9,57.1,0.4,0.4,,,,,,,,,,,,,,,,,4887558,00-0038797,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xni9gnwmhdex7h1ey3jq"
Emari Demercado,KC,RB93,19.1,27.2,23.2,,496,,18.7,106.3,0.4,8.1,53.9,0.1,0,,,,,,,,,,,,,,,,,4362478,00-0038705,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jasnk9akri8eghfgolsn"
Emeka Egbuka,TB,WR39,116,181.3,148.6,94,86.2,80.7,1.6,11.5,0,65.3,827.9,5.7,1.1,,,,,,,,,,,,,,,,,4567750,00-0040129,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qolqqtwamffi0pi4np7h"
Eric Gray,NYG,RB106,6,7.9,6.9,,702,,11.8,42.6,0.2,1.9,14.3,0.1,0.5,,,,,,,,,,,,,,,,,4570561,00-0038396,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijjxwxv1ccyowzhpuw2k"
Eric Saubert,SEA,TE78,8.7,15.4,12,,478,,0,0,0,6.7,59.8,0.5,0,,,,,,,,,,,,,,,,,2975863,00-0033576,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ojoapzazehxdd01fadz6"
Erick All Jr.,CIN,TE100,3.1,5.4,4.2,,739,272,0,0,0,2.3,20.5,0.2,0,,,,,,,,,,,,,,,,,,,
Evan Engram,DEN,TE11,86.2,156.6,121.4,91,84.7,83,0,0,0,70.4,628.1,4.2,0.9,,,,,,,,,,,,,,,,,3051876,00-0033881,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vsrjso6phkjqki88qw9y"
Feleipe Franks,CAR,QB82,2.5,4.4,3.4,,826,,0,0,0,1.8,17.7,0.1,0,,,,,,,,,,,,,,,,,,,
Foster Moreau,HOU,TE41,30.9,50,40.5,,500,,0,0,0,19.1,217.9,1.5,0,,,,,,,,,,,,,,,,,3843945,00-0034981,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/esc21tsccagvyy1ctaoc"
Gage Larvadain,CLE,WR147,4.8,8.4,6.6,,684,,0,0,0,3.6,39,0.2,0,,,,,,,,,,,,,,,,,4877203,00-0040259,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ghzcze6fe8cmvu2vrkyo"
Garrett Wilson,NYJ,WR25,143.5,234.7,189.1,38,40.3,41.7,1.9,13.5,0,91.2,1088.8,6,1.3,,,,,,,,,,,,,,,,,4569618,00-0037740,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kbijsheobhwej7lh8mvf"
Gary Brightwell,CIN,RB128,0,0,0,,644,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4245645,00-0036569,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/egwohqryh9q3pa7erynt"
Gavin Bartholomew,MIN,TE77,9.4,14.9,12.2,,529,,0,0,0,5.5,59.5,0.6,0,,,,,,,,,,,,,,,,,4708049,00-0040215,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pfuzefnxhvnc7g8byn9k"
George Holani,SEA,RB96,15.8,18.8,17.3,,428.5,,8.8,98,0.6,3,21.9,0,0,,,,,,,,,,,,,,,,,4429835,00-0039299,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nadkmkb2sqgjhbkpirkg"
George Kittle,SF,TE2,144.8,220,182.4,39,38.2,35.3,0,0,0,75.2,1014.6,7.4,0.5,,,,,,,,,,,,,,,,,3040151,00-0033288,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ztz3xqjaqgok9m4nylgs"
George Pickens,DAL,WR27,139.4,209.1,174.3,62,65.7,58.7,1,6.2,0,69.6,1018.8,6.4,0.9,,,,,,,,,,,,,,,,,4426354,00-0037247,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbpyykoguf7rsxezqzvk"
Grant Calcaterra,PHI,TE56,18.7,30.9,24.8,,360.7,,0,0,0,12.3,135.8,0.9,0,,,,,,,,,,,,,,,,,4241374,00-0037086,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xzfqqlmavruytirlmg3n"
Greg Dortch,DET,WR88,50.5,83.5,67,,469,,4.8,30.6,0.1,33,329.1,2.5,0.4,,,,,,,,,,,,,,,,,4037235,00-0035500,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jt4lbkjxkkrw3f644sft"
Greg Dulcich,MIA,TE107,1,2,1.5,,667,,0,0,0,1,9.5,0,0,,,,,,,,,,,,,,,,,4367209,00-0037252,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kirfnwuge3eam1s0ycne"
Gunnar Helm,TEN,TE42,29,52,40.5,,452,,0,0,0,23,225.8,1.2,0.4,,,,,,,,,,,,,,,,,4686728,00-0040584,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lcyqbbnrzgtbnirz8knj"
Harold Fannin Jr.,CLE,TE34,40.2,70.9,55.6,247,312.4,277,0,0,0,30.7,303.4,1.8,0.4,,,,,,,,,,,,,,,,,5083076,00-0040663,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fxublmpnxx9uggsddwik"
Hassan Haskins,LAC,RB85,25.2,32.8,29,,417,,28.3,117.6,0.9,7.7,58.8,0.5,0.3,,,,,,,,,,,,,,,,,4372071,00-0037617,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n9jwsfxyo1xppmhscpik"
Hollywood Brown,PHI,WR53,94.3,149.7,122,152.5,170.3,170,0.3,2,0,55.4,682.7,4.4,0.2,,,,,,,,,,,,,,,,,,,
Hunter Henry,NE,TE15,79.3,133.8,106.6,154.5,164.7,159.7,0,0,0,54.4,568.5,3.9,0.4,,,,,,,,,,,,,,,,,3046439,00-0033090,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/l0fsrutz9fwbohx10lcf"
Hunter Long,JAX,TE76,9.8,18.2,14,,651,,0,0,0,8.4,75.9,0.4,0,,,,,,,,,,,,,,,,,4239944,00-0037004,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n1kvmijdfpyv1dwlwqa6"
Hunter Luepke,DAL,RB109,4.9,8.8,6.8,,422,,4.2,14.3,0.1,3.9,26.6,0.1,0,,,,,,,,,,,,,,,,,4383396,00-0038738,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/buachhzmd8p3hq2olwtf"
Ian Thomas,LV,TE81,8.3,14.9,11.6,,478,,0,0,0,6.6,58.5,0.4,0,,,,,,,,,,,,,,,,,4045305,00-0034365,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gvpwnq0mjefjlekgzxro"
Ihmir Smith-Marsette,ARI,WR179,-1.5,-1.5,-1.5,,820,,0,5,0,0,0,0,1,,,,,,,,,,,,,,,,,4240573,00-0036635,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zv9y5bc8lsnvobjdm15p"
Irvin Charles,NYJ,WR132,9.5,15.9,12.7,,841,,0,0,0,6.4,68.3,0.5,0,,,,,,,,,,,,,,,,,3929636,00-0037156,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/heeyyjyf5prqas5tmwvk"
Isaac Guerendo,SF,RB72,41.8,49.3,45.6,173.5,202.4,189.7,50.1,239.7,1.9,7.5,67.2,0.1,0.4,,,,,,,,,,,,,,,,,4372561,00-0039363,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lr1qp5tsa5xshzt02urm"
Isaac TeSlaa,DET,WR86,51.3,79.6,65.5,223,214.6,175.5,0,0,0,28.4,375.3,2.3,0.1,,,,,,,,,,,,,,,,,5123663,00-0040669,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wa4sruqazyqobmepi6vi"
Isaiah Bond,CLE,WR104,29.7,48,38.8,301,435,301,0,0,0,18.3,221.5,1.3,0,,,,,,,,,,,,,,,,,4808839,00-0040782,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/piv889pkizjvgrtpfkxm"
Isaiah Davis,NYJ,RB86,24.5,29.4,27,,509,,30.8,152.1,0.9,4.9,35.6,0.1,0,,,,,,,,,,,,,,,,,4695404,00-0039798,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hsozhwgsuffsfrc4qdp2"
Isaiah Likely,NYG,TE20,73.2,112.7,93,180.5,194,191.7,0,0,0,39.5,468.3,4.6,0.7,,,,,,,,,,,,,,,,,4361050,00-0037838,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ssrjtyvnyfflobmi0mb8"
Isaiah Williams,NYJ,WR162,1.4,2.4,1.9,,770,,0,0,0,1,14,0,0,,,,,,,,,,,,,,,,,4569371,00-0039451,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oh3pm7dzgswlgxn371tx"
Isiah Pacheco,DET,RB26,149.7,183.8,166.7,58.5,60.8,58.3,207.7,857.2,6,34.1,234,1.1,1,,,,,,,,,,,,,,,,,4361529,00-0037197,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqshteijt4xhgk2ei9sx"
J.K. Dobbins,DEN,RB32,118,147.5,132.8,111,104.8,97.3,147.2,655.3,4.8,29.6,189.7,1.2,1.2,,,,,,,,,,,,,,,,,4241985,00-0036158,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cevotvl3ho5h1mioruyg"
Ja'Marr Chase,CIN,WR1,231.7,351.8,291.8,1,1,1,1.6,12.7,0,120.1,1580.9,12.2,0.6,,,,,,,,,,,,,,,,,4362628,00-0036900,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw"
Ja'Tavion Sanders,CAR,TE29,58.5,102.8,80.7,228,286,261.5,0,0,0,44.2,442.4,2.4,0.1,,,,,,,,,,,,,,,,,4431588,00-0039356,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/le2akm1cbou170ioctxl"
Jack Bech,LV,WR100,33.4,53.4,43.4,181.5,227.8,216,0,2.5,0,20,243.1,1.5,0,,,,,,,,,,,,,,,,,4603186,00-0040729,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/feplgtl0x1svqen9szwv"
Jack Stoll,CLE,TE104,1.5,3,2.3,,660,,0,0,0,1.5,15,0,0,,,,,,,,,,,,,,,,,4034862,00-0036741,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rtgfs8jwzhtmupqxqgmz"
Jack Westover,NE,TE101,2.6,4.4,3.5,,,,0,0,0,1.8,18.3,0.1,0,,,,,,,,,,,,,,,,,4361100,00-0039305,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdqum14r2ihtymt8h1na"
Jackson Hawes,BUF,TE87,8,13.3,10.6,,655.5,,0,0,0,5.3,57.2,0.4,0,,,,,,,,,,,,,,,,,4573699,00-0040194,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nmulibermshvvmemgupo"
Jacob Cowing,SF,WR168,0.9,0.9,0.9,,550,,0,8.5,0,0,0,0,0,,,,,,,,,,,,,,,,,4575665,00-0039365,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nkyvxf2mewlwkozdszcg"
Jacory Croskey-Merritt,WAS,RB30,128.1,150.7,139.4,185.5,102.2,97.7,163.9,693.6,5.8,22.7,179.4,1.3,0.9,,,,,,,,,,,,,,,,,4575131,00-0040242,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tklzj7zzve1t4z2hhr1g"
Jahan Dotson,ATL,WR106,26.1,41.1,33.6,,333.3,,0,1.7,0,15,180.6,1.3,0,,,,,,,,,,,,,,,,,4361409,00-0037741,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dbtou5ln1kwjutixywie"
Jaheim Bell,PHI,TE88,8,13,10.5,,545,339,0,0,0,5,50,0.5,0,,,,,,,,,,,,,,,,,4429262,00-0039420,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wm88pq0ncxo2wuktwqni"
Jahmyr Gibbs,DET,RB3,259.5,317.6,288.5,4,4.2,3.7,240.2,1240.4,11.7,58.2,511.9,2.8,1.3,,,,,,,,,,,,,,,,,4429795,00-0039139,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hjxk3judytgsxkqiilre"
Jake Bobo,SEA,WR105,28.2,45.1,36.7,,385.7,,0,0,0,16.9,203.6,1.3,0.1,,,,,,,,,,,,,,,,,4360405,00-0038752,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xkwlqqmn2dcjlyeywpw5"
Jake Briningstool,KC,TE64,15.4,25.4,20.4,,686,,0,0,0,10,94,1,0,,,,,,,,,,,,,,,,,4431196,00-0040081,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bbw1wih1q82vtzvxkk0p"
Jake Ferguson,DAL,TE14,82.4,150.3,116.4,124,137.5,125.3,0,0,0,67.9,621,3.8,1.3,,,,,,,,,,,,,,,,,4242355,00-0038041,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ebdz1yf8ky2mscdvyv1v"
Jake Tonges,SF,TE117,0,0,0,,665,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4259147,00-0037112,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uztcdowl4wig2uhy1qxh"
Jakobi Meyers,JAX,WR35,120.2,197.9,159.1,90,90.8,93,1.2,8.7,0,77.7,907.4,4.9,0.5,,,,,,,,,,,,,,,,,3916433,00-0034960,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qui5ajbevlk7pfjpcufz"
Jaleel McLaughlin,DEN,RB76,37.8,55.9,46.8,254.5,283,309,39.6,169.3,0.9,18.1,109.8,0.9,0.5,,,,,,,,,,,,,,,,,4722893,00-0038794,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pw2tngyy8k8jlb1qpooo"
Jalen Coker,CAR,WR75,63.3,102.2,82.7,269,263,257.5,0,2.3,0,38.9,487.9,2.4,0.1,,,,,,,,,,,,,,,,,4695883,00-0039491,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tbo339znpzrfki8hri95"
Jalen McMillan,TB,WR98,36.4,54.5,45.5,222.5,254.7,273.5,1.4,12.2,0,18,222.6,2.3,0.4,,,,,,,,,,,,,,,,,4430834,00-0039855,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x2jipyhqclsgx4cmsqct"
Jalen Nailor,LV,WR94,43.8,64.8,54.3,,322,,1.8,3.1,0,21,285.6,2.6,0.4,,,,,,,,,,,,,,,,,4382466,00-0037291,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sdsx2pttiiwbfpyuuwiz"
Jalen Royals,KC,WR112,22.7,36.5,29.6,250,336.5,276,0,2.5,0,13.8,155.4,1.2,0,,,,,,,,,,,,,,,,,5082630,00-0040646,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x1t7v5nl0zwkjqucmnfw"
Jalen Tolbert,MIA,WR73,63.5,99.2,81.4,302.5,280,336,0,0,0,35.7,422,3.6,0.1,,,,,,,,,,,,,,,,,4249417,00-0037666,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pif5ffxlibkfp90k1sj4"
Jalin Hyatt,NYG,WR115,21,33,27,,389.7,,0,0,0,12,159.5,0.9,0,,,,,,,,,,,,,,,,,4692590,00-0038938,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bzyn9cpmwfqjtztwblmy"
Jamari Thrash,CLE,WR92,46.7,76.2,61.5,,585,,0,0,0,29.5,355.8,1.9,0.1,,,,,,,,,,,,,,,,,4428678,00-0039379,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/byihyhwwpltzyetas85a"
James Conner,ARI,RB14,189.9,232.2,211,49.5,47.3,47,223,1004.1,8.2,42.4,325.4,1.7,1.4,,,,,,,,,,,,,,,,,3045147,00-0033553,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/g5yjordcmt76j0saytzb"
